Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),SALA:Zone Mean Air Temperature [C](TimeStep),SALA:Zone Operative Temperature [C](TimeStep),JANSO:AFN Surface Venting Window or Door Opening Factor [](TimeStep),JANSL:AFN Surface Venting Window or Door Opening Factor [](TimeStep),JANSS:AFN Surface Venting Window or Door Opening Factor [](TimeStep),SALA:AFN Zone Infiltration Air Change Rate [ach](TimeStep),SALA IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Heating Energy [J](TimeStep),SALA IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Cooling Energy [J](TimeStep)
 01/02  16:40:00,27.5,23,23.98377694,0,0,0,0.133179198,0,239391.6786
 01/02  16:50:00,27.4,23,23.94814765,0,0,0,0.129232615,0,234378.2332
 01/02  17:00:00,27.3,23,23.91230945,0,0,0,0.125292117,0,229394.1165
 01/02  17:10:00,27.13333333,23,23.87542242,0,0,0,0.123975146,0,224298.7414
 01/02  17:20:00,26.96666667,23,23.83817656,0,0,0,0.122911448,0,219202.0722
 01/02  17:30:00,26.8,23,23.80056221,0,0,0,0.12174941,0,214115.0858
 01/02  17:40:00,26.63333333,23,23.76875233,0,0,0,0.120442139,0,209808.3171
 01/02  17:50:00,26.46666667,23,23.73902131,0,0,0,0.119311832,0,205841.216
 01/02  18:00:00,26.3,23,23.71108004,0,0,0,0.11793678,0,202136.794
 01/02  18:10:00,26.18333333,23,23.73529709,0,0,0,0.109727501,0,265487.9389
 01/02  18:20:00,26.06666667,23,23.74454931,0,0,0,0.10222819,0,266557.4046
 01/02  18:30:00,25.95,23,23.7475601,0,0,0,0.099206127,0,266715.4004
 01/02  18:40:00,25.83333333,23,23.74645188,0,0,0,0.096565364,0,266356.1244
 01/02  18:50:00,25.71666667,23,23.74243361,0,0,0,0.093097919,0,265629.3541
 01/02  19:00:00,25.6,23,23.73630884,0,0,0,0.08931296,0,264644.9172
 01/02  19:10:00,25.5,23,23.72873423,0,0,0,0.084065381,0,263491.212
 01/02  19:20:00,25.4,23,23.72003007,0,0,0,0.079204129,0,262213.8206
 01/02  19:30:00,25.3,23,23.71048217,0,0,0,0.074876576,0,260848.2231
 01/02  19:40:00,25.2,23,23.70031056,0,0,0,0.07095504,0,259419.8502
 01/02  19:50:00,25.1,23,23.68969389,0,0,0,0.067494151,0,261695.3483
 01/02  20:00:00,25,23,23.67879689,0,0,0,0.064696254,0,264622.1276
 01/02  20:10:00,24.93333333,23,23.66844401,0,0,0,0.065588406,0,265693.1072
 01/02  20:20:00,24.86666667,23,23.65817525,0,0,0,0.066296446,0,265472.2489
 01/02  20:30:00,24.8,23,23.64810048,0,0,0,0.066894425,0,264795.4228
 01/02  20:40:00,24.73333333,23,23.63830213,0,0,0,0.067457889,0,264097.9773
 01/02  20:50:00,24.66666667,23,23.62882175,0,0,0,0.068044699,0,263482.212
 01/02  21:00:00,24.6,23,23.61967114,0,0,0,0.068576412,0,262922.6223
 01/02  21:10:00,24.55,23,23.61091026,0,0,0,0.067909587,0,262341.2151
 01/02  21:20:00,24.5,23,23.60246112,0,0,0,0.067237794,0,261754.2769
 01/02  21:30:00,24.45,23,23.5942928,0,0,0,0.066571326,0,261160.1649
 01/02  21:40:00,24.4,23,23.58637638,0,0,0,0.065930057,0,260568.2624
 01/02  21:50:00,24.35,23,23.57868445,0,0,0,0.065301803,0,259984.5969
 01/02  22:00:00,24.3,23,23.57119167,0,0,0,0.064704731,0,259409.9045
 01/02  22:10:00,24.3,23.54405661,23.67916856,0,0,0,0.020106058,0,0
 01/02  22:20:00,24.3,23.63426484,23.64371991,0,0,0,0,0,0
